Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,-28,-16,0,12,128809,18,0,12,0
1,1,-72,-28,10,44,128839,0,0,0,0
2,1,-140,-72,10,68,128849,0,0,0,0
3,1,-264,-140,11,124,128860,0,0,0,0
4,1,-404,-264,11,140,128871,0,0,0,0
5,1,-556,-404,10,152,128881,0,0,0,0
6,1,-720,-556,10,164,128891,0,0,0,0
7,1,-900,-720,10,180,128901,0,0,0,0
8,1,-1080,-900,10,180,128911,0,0,0,0
9,1,-1316,-1080,11,236,128922,0,0,0,0
10,1,-1520,-1316,10,204,128932,0,0,0,0
11,1,-1728,-1520,11,208,128943,0,0,0,0
12,1,-1976,-1728,11,248,128954,0,0,0,0
13,1,-2196,-1976,10,220,128964,0,0,0,0
14,1,-2404,-2196,10,208,128974,0,0,0,0
15,1,-2624,-2404,10,220,128984,0,0,0,0
16,1,-2860,-2624,10,236,128994,0,0,0,0
17,1,-3068,-2860,10,208,129004,0,0,0,0
18,1,-3316,-3068,10,248,129014,0,0,0,0
19,1,-3524,-3316,10,208,129024,0,0,0,0
20,1,-3744,-3524,10,220,129034,0,0,0,0
21,1,-3980,-3744,10,236,129044,0,0,0,0
22,1,-4212,-3980,10,232,129054,0,0,0,0
23,1,-4448,-4212,10,236,129064,0,0,0,0
24,1,-4668,-4448,10,220,129074,0,0,0,0
25,1,-4904,-4668,10,236,129084,0,0,0,0
26,1,-5124,-4904,10,220,129094,0,0,0,0
27,1,-5372,-5124,10,248,129104,0,0,0,0
28,1,-5596,-5372,10,224,129114,0,0,0,0
29,1,-5816,-5596,10,220,129124,0,0,0,0
30,1,-6052,-5816,10,236,129134,0,0,0,0
31,1,-6284,-6052,10,232,129144,0,0,0,0
32,1,-6508,-6284,11,224,129155,0,0,0,0
33,1,-6756,-6508,10,248,129165,0,0,0,0
34,1,-6976,-6756,10,220,129175,0,0,0,0
35,1,-7196,-6976,10,220,129185,0,0,0,0
36,1,-7444,-7196,10,248,129195,0,0,0,0
37,1,-7664,-7444,10,220,129205,0,0,0,0
38,1,-7888,-7664,10,224,129215,0,0,0,0
