Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,5162,5174,0,12,302513,16,0,12,0
1,1,5106,5162,11,56,302543,0,0,0,0
2,1,5010,5106,10,96,302553,0,0,0,0
3,1,4870,5010,10,140,302563,0,0,0,0
4,1,4706,4870,10,164,302573,0,0,0,0
5,1,4470,4706,11,236,302584,0,0,0,0
6,1,4262,4470,11,208,302595,0,0,0,0
7,1,4014,4262,10,248,302605,0,0,0,0
8,1,3766,4014,10,248,302615,0,0,0,0
9,1,3518,3766,10,248,302625,0,0,0,0
10,1,3242,3518,10,276,302635,0,0,0,0
11,1,2966,3242,10,276,302645,0,0,0,0
12,1,2673,2966,10,293,302655,0,0,0,0
13,1,2385,2673,11,288,302666,0,0,0,0
14,1,2037,2385,10,348,302676,0,0,0,0
15,1,1749,2037,11,288,302687,0,0,0,0
16,1,1445,1749,10,304,302697,0,0,0,0
17,1,1141,1445,10,304,302707,0,0,0,0
18,1,837,1141,10,304,302717,0,0,0,0
19,1,533,837,10,304,302727,0,0,0,0
20,1,229,533,10,304,302737,0,0,0,0
21,1,-72,229,10,301,302747,0,0,0,0
22,1,-388,-72,10,316,302757,0,0,0,0
23,1,-708,-388,10,320,302767,0,0,0,0
24,1,-1012,-708,10,304,302777,0,0,0,0
25,1,-1328,-1012,10,316,302787,0,0,0,0
26,1,-1700,-1328,12,372,302799,0,0,0,0
27,1,-2004,-1700,10,304,302809,0,0,0,0
28,1,-2376,-2004,11,372,302821,0,0,0,0
29,1,-2696,-2376,10,320,302831,0,0,0,0
30,1,-3028,-2696,10,332,302841,0,0,0,0
31,1,-3304,-3028,10,276,302851,0,0,0,0
32,1,-3620,-3304,10,316,302861,0,0,0,0
33,1,-3924,-3620,10,304,302871,0,0,0,0
34,1,-4228,-3924,10,304,302881,0,0,0,0
35,1,-4532,-4228,10,304,302891,0,0,0,0
36,1,-4836,-4532,10,304,302901,0,0,0,0
37,1,-5152,-4836,10,316,302911,0,0,0,0
38,1,-5456,-5152,10,304,302921,0,0,0,0
39,1,-5816,-5456,11,360,302932,0,0,0,0
40,1,-6132,-5816,11,316,302943,0,0,0,0
41,1,-6424,-6132,10,292,302953,0,0,0,0
42,1,-6808,-6424,11,384,302964,0,0,0,0
43,1,-7088,-6808,10,280,302974,0,0,0,0
44,1,-7336,-7088,10,248,302984,0,0,0,0
45,1,-7692,-7336,10,356,302994,0,0,0,0
46,1,-7996,-7692,11,304,303005,0,0,0,0
47,1,-8300,-7996,10,304,303015,0,0,0,0
48,1,-8604,-8300,10,304,303025,0,0,0,0
49,1,-8908,-8604,10,304,303035,0,0,0,0
50,1,-9212,-8908,10,304,303045,0,0,0,0
51,1,-9532,-9212,10,320,303055,0,0,0,0
52,1,-9820,-9532,10,288,303065,0,0,0,0
53,1,-10124,-9820,10,304,303075,0,0,0,0
54,1,-10428,-10124,10,304,303085,0,0,0,0
55,1,-10732,-10428,10,304,303095,0,0,0,0
56,1,-11048,-10732,10,316,303105,0,0,0,0
57,1,-11396,-11048,11,348,303117,0,0,0,0
58,1,-11712,-11396,10,316,303127,0,0,0,0
59,1,-12028,-11712,10,316,303137,0,0,0,0
60,1,-12320,-12028,10,292,303147,0,0,0,0
61,1,-12624,-12320,10,304,303157,0,0,0,0
62,1,-12940,-12624,10,316,303167,0,0,0,0
63,1,-13244,-12940,10,304,303177,0,0,0,0
64,1,-13564,-13244,10,320,303187,0,0,0,0
65,1,-13852,-13564,10,288,303197,0,0,0,0
66,1,-14184,-13852,10,332,303207,0,0,0,0
67,1,-14500,-14184,10,316,303217,0,0,0,0
68,1,-14832,-14500,10,332,303227,0,0,0,0
69,1,-15124,-14832,10,292,303237,0,0,0,0
70,1,-15440,-15124,10,316,303247,0,0,0,0
71,1,-15812,-15440,11,372,303258,0,0,0,0
72,1,-16132,-15812,11,320,303269,0,0,0,0
73,1,-16448,-16132,10,316,303279,0,0,0,0
74,1,-16780,-16448,10,332,303289,0,0,0,0
75,1,-17112,-16780,10,332,303299,0,0,0,0
76,1,-17416,-17112,10,304,303309,0,0,0,0
77,1,-17748,-17416,10,332,303319,0,0,0,0
