Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,7578,7590,0,12,361078,11,0,12,0
1,1,7522,7578,10,56,361102,0,0,0,0
2,1,7438,7522,11,84,361113,0,0,0,0
3,1,7302,7438,10,136,361123,0,0,0,0
4,1,7122,7302,10,180,361133,0,0,0,0
5,1,6926,7122,10,196,361143,0,0,0,0
6,1,6694,6926,10,232,361153,0,0,0,0
7,1,6474,6694,10,220,361163,0,0,0,0
8,1,6170,6474,11,304,361174,0,0,0,0
9,1,5894,6170,11,276,361185,0,0,0,0
10,1,5602,5894,10,292,361195,0,0,0,0
11,1,5326,5602,10,276,361205,0,0,0,0
12,1,5010,5326,10,316,361215,0,0,0,0
13,1,4718,5010,10,292,361225,0,0,0,0
14,1,4414,4718,10,304,361235,0,0,0,0
15,1,4082,4414,10,332,361245,0,0,0,0
16,1,3766,4082,10,316,361255,0,0,0,0
17,1,3446,3766,10,320,361265,0,0,0,0
18,1,3130,3446,10,316,361275,0,0,0,0
19,1,2798,3130,10,332,361285,0,0,0,0
20,1,2465,2798,10,333,361295,0,0,0,0
21,1,2121,2465,10,344,361305,0,0,0,0
22,1,1805,2121,10,316,361315,0,0,0,0
23,1,1473,1805,10,332,361325,0,0,0,0
24,1,1085,1473,11,388,361336,0,0,0,0
25,1,741,1085,11,344,361347,0,0,0,0
26,1,341,741,12,400,361359,0,0,0,0
27,1,9,341,10,332,361369,0,0,0,0
28,1,-332,9,10,341,361379,0,0,0,0
29,1,-708,-332,11,376,361390,0,0,0,0
30,1,-1064,-708,10,356,361400,0,0,0,0
31,1,-1452,-1064,11,388,361412,0,0,0,0
32,1,-1796,-1452,10,344,361422,0,0,0,0
33,1,-2116,-1796,10,320,361432,0,0,0,0
34,1,-2448,-2116,11,332,361443,0,0,0,0
35,1,-2804,-2448,10,356,361453,0,0,0,0
36,1,-3180,-2804,11,376,361464,0,0,0,0
37,1,-3496,-3180,10,316,361474,0,0,0,0
38,1,-3828,-3496,10,332,361484,0,0,0,0
39,1,-4240,-3828,11,412,361495,0,0,0,0
40,1,-4560,-4240,11,320,361506,0,0,0,0
41,1,-4892,-4560,10,332,361516,0,0,0,0
42,1,-5220,-4892,10,328,361526,0,0,0,0
43,1,-5540,-5220,10,320,361536,0,0,0,0
44,1,-5872,-5540,10,332,361546,0,0,0,0
45,1,-6188,-5872,10,316,361556,0,0,0,0
46,1,-6508,-6188,11,320,361567,0,0,0,0
47,1,-6892,-6508,11,384,361578,0,0,0,0
48,1,-7224,-6892,10,332,361588,0,0,0,0
49,1,-7528,-7224,10,304,361598,0,0,0,0
50,1,-7860,-7528,10,332,361608,0,0,0,0
51,1,-8192,-7860,11,332,361619,0,0,0,0
52,1,-8496,-8192,10,304,361629,0,0,0,0
53,1,-8896,-8496,12,400,361641,0,0,0,0
54,1,-9212,-8896,10,316,361651,0,0,0,0
55,1,-9612,-9212,11,400,361662,0,0,0,0
56,1,-9916,-9612,10,304,361672,0,0,0,0
57,1,-10236,-9916,10,320,361682,0,0,0,0
58,1,-10648,-10236,12,412,361694,0,0,0,0
59,1,-10968,-10648,10,320,361704,0,0,0,0
60,1,-11284,-10968,10,316,361714,0,0,0,0
61,1,-11616,-11284,11,332,361725,0,0,0,0
62,1,-11932,-11616,10,316,361735,0,0,0,0
63,1,-12280,-11932,10,348,361745,0,0,0,0
64,1,-12596,-12280,10,316,361755,0,0,0,0
65,1,-12928,-12596,10,332,361765,0,0,0,0
66,1,-13244,-12928,10,316,361775,0,0,0,0
67,1,-13564,-13244,10,320,361785,0,0,0,0
68,1,-13964,-13564,12,400,361797,0,0,0,0
69,1,-14308,-13964,10,344,361807,0,0,0,0
70,1,-14624,-14308,10,316,361817,0,0,0,0
71,1,-14956,-14624,10,332,361827,0,0,0,0
72,1,-15372,-14956,11,416,361838,0,0,0,0
73,1,-15704,-15372,10,332,361848,0,0,0,0
74,1,-16104,-15704,11,400,361860,0,0,0,0
75,1,-16448,-16104,10,344,361870,0,0,0,0
76,1,-16792,-16448,10,344,361880,0,0,0,0
77,1,-17112,-16792,10,320,361890,0,0,0,0
78,1,-17472,-17112,11,360,361901,0,0,0,0
79,1,-17872,-17472,11,400,361912,0,0,0,0
80,1,-18216,-17872,10,344,361922,0,0,0,0
81,1,-18548,-18216,10,332,361932,0,0,0,0
82,1,-18908,-18548,11,360,361943,0,0,0,0
83,1,-19348,-18908,11,440,361954,0,0,0,0
84,1,-19680,-19348,11,332,361965,0,0,0,0
85,1,-20012,-19680,10,332,361975,0,0,0,0
86,1,-20440,-20012,11,428,361986,0,0,0,0
87,1,-20784,-20440,10,344,361996,0,0,0,0
88,1,-21144,-20784,10,360,362006,0,0,0,0
89,1,-21504,-21144,10,360,362016,0,0,0,0
90,1,-21832,-21504,11,328,362027,0,0,0,0
91,1,-22192,-21832,10,360,362037,0,0,0,0
92,1,-22608,-22192,11,416,362048,0,0,0,0
93,1,-22964,-22608,11,356,362059,0,0,0,0
94,1,-23380,-22964,11,416,362070,0,0,0,0
95,1,-23724,-23380,10,344,362080,0,0,0,0
96,1,-24100,-23724,11,376,362091,0,0,0,1
97,1,-24428,-24100,10,328,362101,0,0,0,1
98,1,-24760,-24428,10,332,362111,0,0,0,1
99,1,-25080,-24760,10,320,362121,0,0,0,1
100,1,-25412,-25080,10,332,362131,0,0,0,1
101,1,-25728,-25412,10,316,362141,0,0,0,1
102,1,-26060,-25728,10,332,362151,0,0,0,1
103,1,-26336,-26060,10,276,362161,0,0,0,1
104,1,-26624,-26336,10,288,362171,0,0,0,1
105,1,-26900,-26624,10,276,362181,0,0,0,1
106,1,-27192,-26900,10,292,362191,0,0,0,1
107,1,-27452,-27192,10,260,362201,0,0,0,1
108,1,-27744,-27452,11,292,362212,0,0,0,1
109,1,-27992,-27744,10,248,362222,0,0,0,1
110,1,-28268,-27992,11,276,362234,0,0,0,1
111,1,-28488,-28268,10,220,362244,0,0,0,1
112,1,-28712,-28488,10,224,362254,0,0,0,1
113,1,-28904,-28712,11,192,362265,0,0,0,1
114,1,-29140,-28904,11,236,362276,0,0,0,1
115,1,-29316,-29140,10,176,362286,0,0,0,1
116,1,-29496,-29316,11,180,362297,0,0,0,1
117,1,-29648,-29496,10,152,362307,0,0,0,1
118,1,-29828,-29648,11,180,362318,0,0,0,1
119,1,-29968,-29828,10,140,362328,0,0,0,1
120,1,-30092,-29968,10,124,362338,0,0,0,1
121,1,-30216,-30092,11,124,362349,0,0,0,1
122,1,-30324,-30216,10,108,362359,0,0,0,1
123,1,-30452,-30324,11,128,362370,0,0,0,1
124,1,-30532,-30452,10,80,362380,0,0,0,1
125,1,-30616,-30532,11,84,362391,0,0,0,1
126,1,-30700,-30616,11,84,362402,0,0,0,1
127,1,-30752,-30700,10,52,362412,0,0,0,1
128,1,-30796,-30752,10,44,362422,0,0,0,1
129,1,-30836,-30796,10,40,362432,0,0,0,1
130,1,-30864,-30836,11,28,362443,0,0,0,1
131,1,-30880,-30864,11,16,362454,0,0,0,1
132,1,-30892,-30880,10,12,362464,0,0,0,1
133,1,-30892,-30892,12,0,362476,0,0,0,1
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
