Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,7342,7354,0,12,338327,14,0,12,0
1,1,7302,7342,10,40,338353,0,0,0,0
2,1,7202,7302,12,100,338365,0,0,0,0
3,1,7050,7202,11,152,338376,0,0,0,0
4,1,6874,7050,10,176,338386,0,0,0,0
5,1,6694,6874,11,180,338397,0,0,0,0
6,1,6430,6694,10,264,338408,0,0,0,0
7,1,6194,6430,11,236,338419,0,0,0,0
8,1,5934,6194,10,260,338429,0,0,0,0
9,1,5670,5934,10,264,338439,0,0,0,0
10,1,5394,5670,10,276,338449,0,0,0,0
11,1,5050,5394,11,344,338460,0,0,0,0
12,1,4774,5050,10,276,338470,0,0,0,0
13,1,4482,4774,10,292,338480,0,0,0,0
14,1,4178,4482,10,304,338490,0,0,0,0
15,1,3862,4178,10,316,338500,0,0,0,0
16,1,3558,3862,10,304,338510,0,0,0,0
17,1,3242,3558,11,316,338521,0,0,0,0
18,1,2910,3242,10,332,338531,0,0,0,0
19,1,2605,2910,10,305,338541,0,0,0,0
20,1,2289,2605,10,316,338551,0,0,0,0
21,1,1969,2289,10,320,338561,0,0,0,0
22,1,1637,1969,10,332,338571,0,0,0,0
23,1,1253,1637,11,384,338582,0,0,0,0
24,1,921,1253,11,332,338593,0,0,0,0
25,1,601,921,10,320,338603,0,0,0,0
26,1,257,601,10,344,338613,0,0,0,0
27,1,-44,257,10,301,338623,0,0,0,0
28,1,-432,-44,12,388,338635,0,0,0,0
29,1,-748,-432,10,316,338645,0,0,0,0
30,1,-1080,-748,10,332,338655,0,0,0,0
31,1,-1412,-1080,10,332,338665,0,0,0,0
32,1,-1756,-1412,10,344,338675,0,0,0,0
33,1,-2060,-1756,10,304,338685,0,0,0,0
34,1,-2376,-2060,10,316,338695,0,0,0,0
35,1,-2696,-2376,10,320,338705,0,0,0,0
36,1,-3028,-2696,10,332,338715,0,0,0,0
37,1,-3344,-3028,10,316,338725,0,0,0,0
38,1,-3732,-3344,11,388,338736,0,0,0,0
39,1,-4132,-3732,11,400,338748,0,0,0,0
40,1,-4488,-4132,11,356,338760,0,0,0,0
41,1,-4808,-4488,11,320,338771,0,0,0,0
42,1,-5180,-4808,11,372,338782,0,0,0,0
43,1,-5512,-5180,11,332,338793,0,0,0,0
44,1,-5884,-5512,11,372,338804,0,0,0,0
45,1,-6216,-5884,11,332,338815,0,0,0,0
46,1,-6508,-6216,10,292,338825,0,0,0,0
47,1,-6892,-6508,11,384,338836,0,0,0,0
48,1,-7196,-6892,10,304,338846,0,0,0,0
49,1,-7528,-7196,11,332,338857,0,0,0,0
50,1,-7832,-7528,10,304,338867,0,0,0,0
51,1,-8204,-7832,11,372,338878,0,0,0,0
52,1,-8524,-8204,10,320,338888,0,0,0,0
53,1,-8824,-8524,10,300,338898,0,0,0,0
54,1,-9128,-8824,10,304,338908,0,0,0,0
55,1,-9448,-9128,11,320,338919,0,0,0,0
56,1,-9832,-9448,11,384,338930,0,0,0,0
57,1,-10124,-9832,10,292,338940,0,0,0,0
58,1,-10456,-10124,11,332,338951,0,0,0,0
59,1,-10840,-10456,11,384,338962,0,0,0,0
60,1,-11144,-10840,11,304,338973,0,0,0,0
61,1,-11520,-11144,10,376,338983,0,0,0,0
62,1,-11768,-11520,10,248,338993,0,0,0,0
63,1,-12084,-11768,10,316,339003,0,0,0,0
64,1,-12404,-12084,10,320,339013,0,0,0,0
65,1,-12720,-12404,10,316,339023,0,0,0,0
66,1,-13052,-12720,10,332,339033,0,0,0,0
67,1,-13424,-13052,11,372,339045,0,0,0,0
68,1,-13728,-13424,10,304,339055,0,0,0,0
69,1,-14060,-13728,10,332,339065,0,0,0,0
70,1,-14392,-14060,10,332,339075,0,0,0,0
71,1,-14724,-14392,10,332,339085,0,0,0,0
72,1,-15040,-14724,10,316,339095,0,0,0,0
73,1,-15372,-15040,10,332,339105,0,0,0,0
74,1,-15756,-15372,11,384,339116,0,0,0,0
75,1,-16076,-15756,10,320,339126,0,0,0,0
76,1,-16464,-16076,11,388,339138,0,0,0,0
77,1,-16808,-16464,10,344,339148,0,0,0,0
78,1,-17124,-16808,10,316,339158,0,0,0,0
79,1,-17484,-17124,10,360,339168,0,0,0,0
80,1,-17800,-17484,10,316,339178,0,0,0,0
81,1,-18132,-17800,10,332,339188,0,0,0,0
82,1,-18548,-18132,12,416,339200,0,0,0,0
83,1,-18880,-18548,10,332,339210,0,0,0,0
84,1,-19208,-18880,11,328,339221,0,0,0,0
85,1,-19568,-19208,10,360,339231,0,0,0,0
86,1,-19900,-19568,10,332,339241,0,0,0,0
87,1,-20216,-19900,10,316,339251,0,0,0,0
88,1,-20564,-20216,10,348,339261,0,0,0,0
89,1,-20896,-20564,10,332,339271,0,0,0,0
90,1,-21252,-20896,10,356,339281,0,0,0,0
91,1,-21600,-21252,10,348,339291,0,0,0,0
92,1,-21932,-21600,10,332,339301,0,0,0,0
93,1,-22276,-21932,10,344,339311,0,0,0,0
94,1,-22636,-22276,10,360,339321,0,0,0,0
95,1,-23020,-22636,10,384,339331,0,0,0,1
96,1,-23492,-23020,11,472,339347,0,0,0,1
97,1,-23824,-23492,11,332,339358,0,0,0,1
98,1,-24208,-23824,11,384,339369,0,0,0,1
99,1,-24596,-24208,11,388,339380,0,0,0,1
100,1,-24900,-24596,11,304,339391,0,0,0,1
101,1,-25204,-24900,10,304,339401,0,0,0,1
102,1,-25480,-25204,10,276,339411,0,0,0,1
103,1,-25768,-25480,10,288,339421,0,0,0,1
104,1,-26044,-25768,10,276,339431,0,0,0,1
105,1,-26364,-26044,11,320,339442,0,0,0,1
106,1,-26624,-26364,11,260,339453,0,0,0,1
107,1,-26860,-26624,10,236,339463,0,0,0,1
108,1,-27096,-26860,10,236,339473,0,0,0,1
109,1,-27328,-27096,10,232,339483,0,0,0,1
110,1,-27604,-27328,11,276,339494,0,0,0,1
111,1,-27812,-27604,10,208,339504,0,0,0,1
112,1,-28020,-27812,10,208,339514,0,0,0,1
113,1,-28212,-28020,10,192,339525,0,0,0,1
114,1,-28420,-28212,11,208,339536,0,0,0,1
115,1,-28600,-28420,10,180,339546,0,0,0,1
116,1,-28764,-28600,10,164,339556,0,0,0,1
117,1,-28916,-28764,10,152,339566,0,0,0,1
118,1,-29056,-28916,10,140,339576,0,0,0,1
119,1,-29192,-29056,10,136,339586,0,0,0,1
120,1,-29316,-29192,10,124,339596,0,0,0,1
121,1,-29428,-29316,10,112,339606,0,0,0,1
122,1,-29524,-29428,10,96,339616,0,0,0,1
123,1,-29620,-29524,10,96,339626,0,0,0,1
124,1,-29704,-29620,11,84,339637,0,0,0,1
125,1,-29800,-29704,11,96,339648,0,0,0,1
126,1,-29872,-29800,10,72,339658,0,0,0,1
127,1,-29924,-29872,11,52,339669,0,0,0,1
128,1,-29980,-29924,11,56,339680,0,0,0,1
129,1,-30008,-29980,10,28,339690,0,0,0,1
130,1,-30036,-30008,10,28,339700,0,0,0,1
131,1,-30048,-30036,10,12,339710,0,0,0,1
132,1,-30064,-30048,10,16,339720,0,0,0,1
133,1,-30064,-30064,10,0,339730,0,0,0,1
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
