Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,9855,9871,0,16,396573,10,0,16,0
1,1,9815,9855,10,40,396595,0,0,0,0
2,1,9731,9815,10,84,396605,0,0,0,0
3,1,9595,9731,10,136,396615,0,0,0,0
4,1,9415,9595,10,180,396625,0,0,0,0
5,1,9207,9415,10,208,396635,0,0,0,0
6,1,8987,9207,10,220,396645,0,0,0,0
7,1,8739,8987,10,248,396655,0,0,0,0
8,1,8435,8739,11,304,396666,0,0,0,0
9,1,8158,8435,11,277,396677,0,0,0,0
10,1,7798,8158,11,360,396688,0,0,0,0
11,1,7494,7798,11,304,396699,0,0,0,0
12,1,7190,7494,10,304,396709,0,0,0,0
13,1,6874,7190,10,316,396719,0,0,0,0
14,1,6554,6874,10,320,396729,0,0,0,0
15,1,6170,6554,11,384,396740,0,0,0,0
16,1,5850,6170,11,320,396751,0,0,0,0
17,1,5506,5850,10,344,396761,0,0,0,0
18,1,5162,5506,10,344,396771,0,0,0,0
19,1,4774,5162,11,388,396782,0,0,0,0
20,1,4430,4774,11,344,396793,0,0,0,0
21,1,4082,4430,10,348,396803,0,0,0,0
22,1,3726,4082,10,356,396813,0,0,0,0
23,1,3394,3726,10,332,396823,0,0,0,0
24,1,3046,3394,10,348,396833,0,0,0,0
25,1,2701,3046,10,345,396843,0,0,0,0
26,1,2357,2701,10,344,396853,0,0,0,0
27,1,1997,2357,10,360,396863,0,0,0,0
28,1,1637,1997,10,360,396873,0,0,0,0
29,1,1237,1637,12,400,396885,0,0,0,0
30,1,809,1237,12,428,396897,0,0,0,0
31,1,397,809,11,412,396908,0,0,0,0
32,1,49,397,10,348,396918,0,0,0,0
33,1,-292,49,10,341,396928,0,0,0,0
34,1,-652,-292,10,360,396938,0,0,0,0
35,1,-1012,-652,10,360,396948,0,0,0,0
36,1,-1340,-1012,11,328,396959,0,0,0,0
37,1,-1688,-1340,10,348,396969,0,0,0,0
38,1,-2032,-1688,10,344,396979,0,0,0,0
39,1,-2364,-2032,10,332,396989,0,0,0,0
40,1,-2708,-2364,10,344,396999,0,0,0,0
41,1,-3136,-2708,11,428,397010,0,0,0,0
42,1,-3480,-3136,10,344,397020,0,0,0,0
43,1,-3828,-3480,10,348,397030,0,0,0,0
44,1,-4160,-3828,10,332,397040,0,0,0,0
45,1,-4488,-4160,11,328,397051,0,0,0,0
46,1,-4820,-4488,10,332,397061,0,0,0,0
47,1,-5220,-4820,11,400,397072,0,0,0,0
48,1,-5568,-5220,10,348,397082,0,0,0,0
49,1,-5912,-5568,11,344,397093,0,0,0,0
50,1,-6228,-5912,10,316,397103,0,0,0,0
51,1,-6632,-6228,11,404,397114,0,0,0,0
52,1,-6948,-6632,10,316,397124,0,0,0,0
53,1,-7292,-6948,10,344,397134,0,0,0,0
54,1,-7624,-7292,10,332,397144,0,0,0,0
55,1,-7968,-7624,10,344,397154,0,0,0,0
56,1,-8288,-7968,11,320,397165,0,0,0,0
57,1,-8620,-8288,10,332,397175,0,0,0,0
58,1,-8952,-8620,10,332,397185,0,0,0,0
59,1,-9280,-8952,10,328,397195,0,0,0,0
60,1,-9628,-9280,10,348,397205,0,0,0,0
61,1,-9960,-9628,10,332,397215,0,0,0,0
62,1,-10288,-9960,10,328,397225,0,0,0,0
63,1,-10620,-10288,10,332,397235,0,0,0,0
64,1,-10952,-10620,10,332,397245,0,0,0,0
65,1,-11368,-10952,11,416,397256,0,0,0,0
66,1,-11752,-11368,12,384,397269,0,0,0,0
67,1,-12168,-11752,11,416,397280,0,0,0,0
68,1,-12500,-12168,10,332,397290,0,0,0,0
69,1,-12844,-12500,10,344,397300,0,0,0,0
70,1,-13188,-12844,10,344,397310,0,0,0,0
71,1,-13508,-13188,10,320,397320,0,0,0,0
72,1,-13852,-13508,10,344,397330,0,0,0,0
73,1,-14196,-13852,10,344,397340,0,0,0,0
74,1,-14544,-14196,10,348,397350,0,0,0,0
75,1,-14876,-14544,10,332,397360,0,0,0,0
76,1,-15220,-14876,10,344,397370,0,0,0,0
77,1,-15580,-15220,10,360,397380,0,0,0,0
78,1,-15908,-15580,11,328,397391,0,0,0,0
79,1,-16256,-15908,10,348,397401,0,0,0,0
80,1,-16668,-16256,11,412,397412,0,0,0,0
81,1,-17016,-16668,10,348,397422,0,0,0,0
82,1,-17372,-17016,11,356,397433,0,0,0,0
83,1,-17748,-17372,10,376,397443,0,0,0,0
84,1,-18148,-17748,11,400,397454,0,0,0,0
85,1,-18492,-18148,10,344,397464,0,0,0,0
86,1,-18852,-18492,10,360,397474,0,0,0,0
87,1,-19208,-18852,10,356,397484,0,0,0,0
88,1,-19568,-19208,10,360,397494,0,0,0,0
89,1,-19956,-19568,11,388,397505,0,0,0,0
90,1,-20384,-19956,11,428,397516,0,0,0,0
91,1,-20728,-20384,10,344,397526,0,0,0,0
92,1,-21088,-20728,10,360,397536,0,0,0,0
93,1,-21448,-21088,11,360,397547,0,0,0,0
94,1,-21780,-21448,10,332,397557,0,0,0,0
95,1,-22164,-21780,10,384,397567,0,0,0,0
96,1,-22512,-22164,10,348,397577,0,0,0,1
97,1,-23228,-22512,11,716,397596,0,0,0,1
98,1,-23572,-23228,10,344,397606,0,0,0,1
99,1,-23932,-23572,10,360,397616,0,0,0,1
100,1,-24264,-23932,11,332,397627,0,0,0,1
101,1,-24596,-24264,10,332,397637,0,0,0,1
102,1,-24996,-24596,11,400,397648,0,0,0,1
103,1,-25300,-24996,11,304,397659,0,0,0,1
104,1,-25588,-25300,10,288,397669,0,0,0,1
105,1,-25948,-25588,11,360,397680,0,0,0,1
106,1,-26252,-25948,11,304,397691,0,0,0,1
107,1,-26584,-26252,11,332,397702,0,0,0,1
108,1,-26860,-26584,10,276,397712,0,0,0,1
109,1,-27108,-26860,10,248,397722,0,0,0,1
110,1,-27372,-27108,10,264,397732,0,0,0,1
111,1,-27632,-27372,11,260,397743,0,0,0,1
112,1,-27908,-27632,11,276,397754,0,0,0,1
113,1,-28132,-27908,11,224,397765,0,0,0,1
114,1,-28380,-28132,10,248,397775,0,0,0,1
115,1,-28544,-28380,10,164,397785,0,0,0,1
116,1,-28752,-28544,10,208,397795,0,0,0,1
117,1,-28932,-28752,10,180,397805,0,0,0,1
118,1,-29124,-28932,10,192,397815,0,0,0,1
119,1,-29332,-29124,11,208,397826,0,0,0,1
120,1,-29484,-29332,10,152,397836,0,0,0,1
121,1,-29636,-29484,10,152,397846,0,0,0,1
122,1,-29788,-29636,10,152,397856,0,0,0,1
123,1,-29912,-29788,11,124,397867,0,0,0,1
124,1,-30036,-29912,10,124,397877,0,0,0,1
125,1,-30148,-30036,10,112,397887,0,0,0,1
126,1,-30256,-30148,10,108,397897,0,0,0,1
127,1,-30340,-30256,10,84,397907,0,0,0,1
128,1,-30436,-30340,10,96,397917,0,0,0,1
129,1,-30532,-30436,12,96,397929,0,0,0,1
130,1,-30604,-30532,10,72,397939,0,0,0,1
131,1,-30656,-30604,10,52,397949,0,0,0,1
132,1,-30712,-30656,12,56,397961,0,0,0,1
133,1,-30752,-30712,10,40,397971,0,0,0,1
134,1,-30768,-30752,10,16,397981,0,0,0,1
135,1,-30780,-30768,10,12,397991,0,0,0,1
136,1,-30796,-30780,11,16,398002,0,0,0,1
137,1,-30796,-30796,11,0,398013,0,0,0,1
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
