Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,19357,19373,0,16,564032,11,0,16,0
1,1,19305,19357,10,52,564055,0,0,0,0
2,1,19193,19305,10,112,564065,0,0,0,0
3,1,19068,19193,10,125,564075,0,0,0,0
4,1,18876,19068,10,192,564085,0,0,0,0
5,1,18596,18876,11,280,564096,0,0,0,0
6,1,18348,18596,11,248,564107,0,0,0,0
7,1,18032,18348,11,316,564118,0,0,0,0
8,1,17728,18032,10,304,564128,0,0,0,0
9,1,17424,17728,11,304,564139,0,0,0,0
10,1,17092,17424,10,332,564149,0,0,0,0
11,1,16748,17092,10,344,564159,0,0,0,0
12,1,16416,16748,10,332,564169,0,0,0,0
13,1,15988,16416,11,428,564180,0,0,0,0
14,1,15628,15988,10,360,564190,0,0,0,0
15,1,15272,15628,10,356,564200,0,0,0,0
16,1,14924,15272,10,348,564210,0,0,0,0
17,1,14540,14924,10,384,564220,0,0,0,0
18,1,14180,14540,10,360,564230,0,0,0,0
19,1,13808,14180,10,372,564240,0,0,0,0
20,1,13431,13808,10,377,564250,0,0,0,0
21,1,13047,13431,10,384,564260,0,0,0,0
22,1,12675,13047,10,372,564270,0,0,0,0
23,1,12271,12675,10,404,564280,0,0,0,0
24,1,11871,12271,10,400,564290,0,0,0,0
25,1,11499,11871,10,372,564300,0,0,0,0
26,1,11111,11499,10,388,564310,0,0,0,0
27,1,10711,11111,10,400,564320,0,0,0,0
28,1,10311,10711,10,400,564330,0,0,0,0
29,1,9911,10311,10,400,564340,0,0,0,0
30,1,9511,9911,10,400,564350,0,0,0,0
31,1,9123,9511,10,388,564360,0,0,0,0
32,1,8739,9123,10,384,564370,0,0,0,0
33,1,8323,8739,10,416,564380,0,0,0,0
34,1,7934,8323,10,389,564390,0,0,0,0
35,1,7410,7934,11,524,564401,0,0,0,0
36,1,7026,7410,11,384,564412,0,0,0,0
37,1,6622,7026,10,404,564422,0,0,0,0
38,1,6194,6622,10,428,564432,0,0,0,0
39,1,5810,6194,10,384,564442,0,0,0,0
40,1,5394,5810,10,416,564452,0,0,0,0
41,1,4982,5394,10,412,564462,0,0,0,0
42,1,4566,4982,10,416,564472,0,0,0,0
43,1,4166,4566,11,400,564483,0,0,0,0
44,1,3750,4166,10,416,564493,0,0,0,0
45,1,3350,3750,10,400,564503,0,0,0,0
46,1,2938,3350,10,412,564513,0,0,0,0
47,1,2437,2938,11,501,564524,0,0,0,0
48,1,2025,2437,11,412,564535,0,0,0,0
49,1,1625,2025,10,400,564545,0,0,0,0
50,1,1129,1625,10,496,564555,0,0,0,0
51,1,713,1129,12,416,564567,0,0,0,0
52,1,245,713,11,468,564578,0,0,0,0
53,1,-156,245,11,401,564589,0,0,0,0
54,1,-652,-156,11,496,564600,0,0,0,0
55,1,-1052,-652,10,400,564610,0,0,0,0
56,1,-1452,-1052,10,400,564620,0,0,0,0
57,1,-1852,-1452,10,400,564630,0,0,0,0
58,1,-2252,-1852,10,400,564640,0,0,0,0
59,1,-2724,-2252,11,472,564651,0,0,0,0
60,1,-3152,-2724,10,428,564661,0,0,0,0
61,1,-3524,-3152,11,372,564672,0,0,0,0
62,1,-4008,-3524,11,484,564683,0,0,0,0
63,1,-4380,-4008,11,372,564694,0,0,0,0
64,1,-4780,-4380,10,400,564704,0,0,0,0
65,1,-5168,-4780,10,388,564714,0,0,0,0
66,1,-5648,-5168,11,480,564725,0,0,0,0
67,1,-6024,-5648,11,376,564736,0,0,0,0
68,1,-6408,-6024,10,384,564746,0,0,0,0
69,1,-6796,-6408,10,388,564756,0,0,0,0
70,1,-7196,-6796,10,400,564766,0,0,0,0
71,1,-7664,-7196,11,468,564777,0,0,0,0
72,1,-8052,-7664,11,388,564788,0,0,0,0
73,1,-8452,-8052,11,400,564799,0,0,0,0
74,1,-8880,-8452,12,428,564811,0,0,0,0
75,1,-9352,-8880,11,472,564822,0,0,0,0
76,1,-9724,-9352,10,372,564832,0,0,0,0
77,1,-10208,-9724,10,484,564843,0,0,0,0
78,1,-10564,-10208,11,356,564854,0,0,0,0
79,1,-10968,-10564,10,404,564864,0,0,0,0
80,1,-11352,-10968,10,384,564874,0,0,0,0
81,1,-11740,-11352,10,388,564884,0,0,0,0
