Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,-28,-16,0,12,148630,13,0,12,0
1,1,-72,-28,11,44,148657,0,0,0,0
2,1,-140,-72,10,68,148667,0,0,0,0
3,1,-252,-140,10,112,148677,0,0,0,0
4,1,-388,-252,11,136,148688,0,0,0,0
5,1,-584,-388,12,196,148700,0,0,0,0
6,1,-788,-584,11,204,148711,0,0,0,0
7,1,-984,-788,10,196,148721,0,0,0,0
8,1,-1176,-984,11,192,148732,0,0,0,0
9,1,-1384,-1176,10,208,148742,0,0,0,0
10,1,-1644,-1384,11,260,148753,0,0,0,0
11,1,-1908,-1644,12,264,148765,0,0,0,0
12,1,-2128,-1908,10,220,148775,0,0,0,0
13,1,-2364,-2128,10,236,148785,0,0,0,0
14,1,-2668,-2364,11,304,148796,0,0,0,0
15,1,-2888,-2668,10,220,148806,0,0,0,0
16,1,-3124,-2888,11,236,148817,0,0,0,0
17,1,-3356,-3124,11,232,148828,0,0,0,0
18,1,-3608,-3356,10,252,148838,0,0,0,0
19,1,-3856,-3608,10,248,148848,0,0,0,0
20,1,-4104,-3856,10,248,148858,0,0,0,0
21,1,-4380,-4104,11,276,148869,0,0,0,0
22,1,-4640,-4380,10,260,148879,0,0,0,0
23,1,-4892,-4640,10,252,148889,0,0,0,0
24,1,-5152,-4892,10,260,148899,0,0,0,0
25,1,-5372,-5152,10,220,148909,0,0,0,0
26,1,-5624,-5372,11,252,148920,0,0,0,0
27,1,-5872,-5624,10,248,148930,0,0,0,0
28,1,-6120,-5872,10,248,148940,0,0,0,0
29,1,-6424,-6120,10,304,148950,0,0,0,0
30,1,-6616,-6424,10,192,148960,0,0,0,0
31,1,-6908,-6616,11,292,148971,0,0,0,0
32,1,-7168,-6908,11,260,148982,0,0,0,0
33,1,-7404,-7168,10,236,148992,0,0,0,0
34,1,-7652,-7404,10,248,149002,0,0,0,0
35,1,-7956,-7652,11,304,149013,0,0,0,0
36,1,-8204,-7956,11,248,149024,0,0,0,0
37,1,-8452,-8204,10,248,149034,0,0,0,0
38,1,-8688,-8452,10,236,149044,0,0,0,0
39,1,-8992,-8688,11,304,149055,0,0,0,0
40,1,-9240,-8992,11,248,149066,0,0,0,0
41,1,-9504,-9240,10,264,149076,0,0,0,0
42,1,-9792,-9504,11,288,149087,0,0,0,0
43,1,-10056,-9792,10,264,149097,0,0,0,0
44,1,-10304,-10056,10,248,149108,0,0,0,0
45,1,-10592,-10304,10,288,149118,0,0,0,0
46,1,-10856,-10592,10,264,149129,0,0,0,0
47,1,-11120,-10856,10,264,149139,0,0,0,0
48,1,-11368,-11120,10,248,149149,0,0,0,0
49,1,-11672,-11368,11,304,149160,0,0,0,0
50,1,-11904,-11672,10,232,149170,0,0,0,0
51,1,-12168,-11904,10,264,149180,0,0,0,0
52,1,-12416,-12168,11,248,149191,0,0,0,0
53,1,-12664,-12416,10,248,149201,0,0,0,0
54,1,-12984,-12664,11,320,149212,0,0,0,0
55,1,-13244,-12984,11,260,149223,0,0,0,0
56,1,-13492,-13244,10,248,149233,0,0,0,0
57,1,-13756,-13492,10,264,149243,0,0,0,0
58,1,-14004,-13756,10,248,149253,0,0,0,0
59,1,-14296,-14004,10,292,149263,0,0,0,0
60,1,-14544,-14296,10,248,149273,0,0,0,0
61,1,-14804,-14544,10,260,149283,0,0,0,0
62,1,-15068,-14804,10,264,149293,0,0,0,0
63,1,-15316,-15068,10,248,149303,0,0,0,0
64,1,-15580,-15316,10,264,149313,0,0,0,0
65,1,-15908,-15580,10,328,149323,0,0,0,0
66,1,-16172,-15908,10,264,149334,0,0,0,0
67,1,-16448,-16172,10,276,149344,0,0,0,0
68,1,-16712,-16448,11,264,149355,0,0,0,0
69,1,-16972,-16712,10,260,149365,0,0,0,0
70,1,-17236,-16972,11,264,149376,0,0,0,0
71,1,-17512,-17236,10,276,149386,0,0,0,0
72,1,-17772,-17512,10,260,149396,0,0,0,0
73,1,-18052,-17772,10,280,149406,0,0,0,0
74,1,-18328,-18052,10,276,149416,0,0,0,0
75,1,-18656,-18328,11,328,149427,0,0,0,0
76,1,-18932,-18656,11,276,149438,0,0,0,0
77,1,-19208,-18932,10,276,149448,0,0,0,0
78,1,-19540,-19208,11,332,149459,0,0,0,0
79,1,-19872,-19540,12,332,149471,0,0,0,0
80,1,-20204,-19872,11,332,149482,0,0,0,0
81,1,-20480,-20204,10,276,149492,0,0,0,0
82,1,-20756,-20480,10,276,149502,0,0,0,0
83,1,-21048,-20756,10,292,149512,0,0,0,0
84,1,-21308,-21048,10,260,149522,0,0,0,0
85,1,-21600,-21308,10,292,149532,0,0,0,0
86,1,-21860,-21600,10,260,149542,0,0,0,0
87,1,-22136,-21860,11,276,149553,0,0,0,0
88,1,-22468,-22136,11,332,149564,0,0,0,0
89,1,-22760,-22468,11,292,149575,0,0,0,0
90,1,-23036,-22760,10,276,149585,0,0,0,0
91,1,-23324,-23036,11,288,149596,0,0,0,0
92,1,-23628,-23324,11,304,149607,0,0,0,0
93,1,-23904,-23628,10,276,149617,0,0,0,0
94,1,-24180,-23904,10,276,149627,0,0,0,0
95,1,-24444,-24180,10,264,149637,0,0,0,1
96,1,-24760,-24444,11,316,149649,0,0,0,1
97,1,-25036,-24760,10,276,149659,0,0,0,1
98,1,-25272,-25036,10,236,149669,0,0,0,1
99,1,-25520,-25272,10,248,149679,0,0,0,1
100,1,-25812,-25520,11,292,149691,0,0,0,1
101,1,-26016,-25812,10,204,149701,0,0,0,1
102,1,-26268,-26016,11,252,149712,0,0,0,1
103,1,-26488,-26268,11,220,149723,0,0,0,1
104,1,-26680,-26488,10,192,149733,0,0,0,1
105,1,-26848,-26680,10,168,149743,0,0,0,1
106,1,-27024,-26848,10,176,149753,0,0,0,1
107,1,-27192,-27024,10,168,149763,0,0,0,1
108,1,-27344,-27192,11,152,149774,0,0,0,1
109,1,-27524,-27344,11,180,149785,0,0,0,1
110,1,-27648,-27524,10,124,149795,0,0,0,1
111,1,-27772,-27648,10,124,149805,0,0,0,1
112,1,-27880,-27772,10,108,149815,0,0,0,1
113,1,-27992,-27880,10,112,149825,0,0,0,1
114,1,-28104,-27992,10,112,149835,0,0,0,1
115,1,-28184,-28104,11,80,149846,0,0,0,1
116,1,-28268,-28184,11,84,149857,0,0,0,1
117,1,-28336,-28268,10,68,149867,0,0,0,1
118,1,-28380,-28336,10,44,149877,0,0,0,1
119,1,-28436,-28380,11,56,149888,0,0,0,1
120,1,-28460,-28436,10,24,149898,0,0,0,1
121,1,-28504,-28460,11,44,149909,0,0,0,1
122,1,-28516,-28504,11,12,149920,0,0,0,1
123,1,-28516,-28516,10,0,149930,0,0,0,1
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
