Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,30739,30751,0,12,730168,12,0,12,0
1,1,30643,30739,10,96,730193,0,0,0,0
2,1,30447,30643,12,196,730206,0,0,0,0
3,1,30215,30447,10,232,730216,0,0,0,0
4,1,29950,30215,10,265,730226,0,0,0,0
5,1,29646,29950,10,304,730236,0,0,0,0
6,1,29314,29646,10,332,730246,0,0,0,0
7,1,28858,29314,11,456,730257,0,0,0,0
8,1,28458,28858,11,400,730268,0,0,0,0
9,1,27978,28458,12,480,730280,0,0,0,0
10,1,27494,27978,10,484,730290,0,0,0,0
11,1,27134,27494,10,360,730300,0,0,0,0
12,1,26718,27134,10,416,730310,0,0,0,0
13,1,26278,26718,10,440,730320,0,0,0,0
14,1,25822,26278,10,456,730330,0,0,0,0
15,1,25338,25822,10,484,730340,0,0,0,0
16,1,24910,25338,10,428,730350,0,0,0,0
17,1,24453,24910,10,457,730360,0,0,0,0
18,1,23985,24453,10,468,730370,0,0,0,0
19,1,23513,23985,10,472,730380,0,0,0,0
20,1,23045,23513,10,468,730390,0,0,0,0
21,1,22589,23045,10,456,730400,0,0,0,0
22,1,22093,22589,10,496,730410,0,0,0,0
23,1,21649,22093,10,444,730420,0,0,0,0
24,1,21209,21649,10,440,730430,0,0,0,0
25,1,20741,21209,10,468,730440,0,0,0,0
26,1,20269,20741,10,472,730450,0,0,0,0
27,1,19717,20269,10,552,730460,0,0,0,0
28,1,19249,19717,11,468,730472,0,0,0,0
29,1,18776,19249,10,473,730482,0,0,0,0
30,1,18308,18776,10,468,730492,0,0,0,0
31,1,17852,18308,10,456,730502,0,0,0,0
32,1,17384,17852,10,468,730512,0,0,0,0
33,1,16884,17384,10,500,730522,0,0,0,0
34,1,16432,16884,10,452,730532,0,0,0,0
35,1,15976,16432,10,456,730542,0,0,0,0
36,1,15520,15976,10,456,730552,0,0,0,0
37,1,15036,15520,10,484,730562,0,0,0,0
38,1,14552,15036,10,484,730572,0,0,0,0
39,1,14096,14552,10,456,730582,0,0,0,0
40,1,13627,14096,10,469,730592,0,0,0,0
41,1,13143,13627,10,484,730602,0,0,0,0
42,1,12687,13143,10,456,730612,0,0,0,0
43,1,12191,12687,10,496,730622,0,0,0,0
44,1,11639,12191,11,552,730633,0,0,0,0
45,1,11167,11639,11,472,730644,0,0,0,0
46,1,10671,11167,10,496,730654,0,0,0,0
47,1,10187,10671,10,484,730664,0,0,0,0
48,1,9703,10187,10,484,730674,0,0,0,0
49,1,9139,9703,11,564,730685,0,0,0,0
50,1,8639,9139,10,500,730695,0,0,0,0
51,1,8158,8639,11,481,730706,0,0,0,0
52,1,7674,8158,10,484,730716,0,0,0,0
53,1,7178,7674,10,496,730726,0,0,0,0
54,1,6722,7178,10,456,730736,0,0,0,0
55,1,6222,6722,10,500,730746,0,0,0,0
56,1,5726,6222,10,496,730756,0,0,0,0
57,1,5242,5726,10,484,730766,0,0,0,0
58,1,4758,5242,10,484,730776,0,0,0,0
59,1,4262,4758,10,496,730786,0,0,0,0
60,1,3794,4262,10,468,730796,0,0,0,0
61,1,3198,3794,11,596,730807,0,0,0,0
62,1,2717,3198,11,481,730818,0,0,0,0
63,1,2245,2717,10,472,730828,0,0,0,0
64,1,1721,2245,10,524,730838,0,0,0,0
65,1,1181,1721,11,540,730849,0,0,0,0
66,1,701,1181,11,480,730860,0,0,0,0
67,1,217,701,10,484,730870,0,0,0,0
68,1,-348,217,10,565,730880,0,0,0,0
69,1,-928,-348,11,580,730892,0,0,0,0
70,1,-1328,-928,10,400,730902,0,0,0,0
71,1,-1892,-1328,11,564,730913,0,0,0,0
72,1,-2460,-1892,11,568,730925,0,0,0,0
73,1,-2944,-2460,10,484,730935,0,0,0,0
74,1,-3440,-2944,10,496,730945,0,0,0,0
75,1,-3896,-3440,10,456,730955,0,0,0,0
76,1,-4380,-3896,10,484,730965,0,0,0,0
77,1,-4848,-4380,10,468,730975,0,0,0,0
78,1,-5292,-4848,11,444,730986,0,0,0,0
79,1,-5800,-5292,10,508,730996,0,0,0,0
80,1,-6244,-5800,10,444,731006,0,0,0,0
81,1,-6728,-6244,10,484,731016,0,0,0,0
82,1,-7196,-6728,10,468,731026,0,0,0,0
83,1,-7664,-7196,10,468,731036,0,0,0,0
84,1,-8136,-7664,10,472,731046,0,0,0,0
85,1,-8716,-8136,11,580,731057,0,0,0,0
86,1,-9156,-8716,10,440,731067,0,0,0,0
87,1,-9600,-9156,11,444,731078,0,0,0,0
88,1,-10084,-9600,10,484,731088,0,0,0,0
89,1,-10552,-10084,10,468,731098,0,0,0,0
90,1,-11048,-10552,10,496,731108,0,0,0,0
91,1,-11588,-11048,11,540,731119,0,0,0,0
92,1,-12056,-11588,10,468,731129,0,0,0,0
93,1,-12528,-12056,10,472,731139,0,0,0,0
