Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,-4,9,0,13,169069,14,0,13,0
1,1,-44,-4,10,40,169095,0,0,0,0
2,1,-112,-44,10,68,169105,0,0,0,0
3,1,-236,-112,11,124,169116,0,0,0,0
4,1,-376,-236,10,140,169127,0,0,0,0
5,1,-528,-376,10,152,169137,0,0,0,0
6,1,-748,-528,11,220,169148,0,0,0,0
7,1,-940,-748,10,192,169158,0,0,0,0
8,1,-1148,-940,10,208,169168,0,0,0,0
9,1,-1368,-1148,10,220,169178,0,0,0,0
10,1,-1592,-1368,11,224,169189,0,0,0,0
11,1,-1852,-1592,11,260,169200,0,0,0,0
12,1,-2100,-1852,10,248,169210,0,0,0,0
13,1,-2336,-2100,10,236,169220,0,0,0,0
14,1,-2600,-2336,11,264,169231,0,0,0,0
15,1,-2832,-2600,10,232,169241,0,0,0,0
16,1,-3080,-2832,10,248,169251,0,0,0,0
17,1,-3316,-3080,11,236,169262,0,0,0,0
18,1,-3620,-3316,11,304,169273,0,0,0,0
19,1,-3868,-3620,10,248,169283,0,0,0,0
20,1,-4132,-3868,10,264,169293,0,0,0,0
21,1,-4380,-4132,10,248,169303,0,0,0,0
22,1,-4640,-4380,10,260,169313,0,0,0,0
23,1,-4876,-4640,10,236,169323,0,0,0,0
24,1,-5140,-4876,10,264,169333,0,0,0,0
25,1,-5444,-5140,11,304,169344,0,0,0,0
26,1,-5648,-5444,10,204,169354,0,0,0,0
27,1,-5968,-5648,11,320,169365,0,0,0,0
28,1,-6216,-5968,10,248,169375,0,0,0,0
29,1,-6480,-6216,10,264,169385,0,0,0,0
30,1,-6740,-6480,11,260,169396,0,0,0,0
31,1,-6976,-6740,10,236,169406,0,0,0,0
32,1,-7236,-6976,10,260,169416,0,0,0,0
33,1,-7500,-7236,10,264,169426,0,0,0,0
34,1,-7748,-7500,10,248,169436,0,0,0,0
35,1,-8012,-7748,10,264,169446,0,0,0,0
36,1,-8260,-8012,10,248,169456,0,0,0,0
37,1,-8524,-8260,10,264,169466,0,0,0,0
38,1,-8840,-8524,10,316,169476,0,0,0,0
39,1,-9088,-8840,11,248,169488,0,0,0,0
40,1,-9352,-9088,10,264,169498,0,0,0,0
41,1,-9656,-9352,10,304,169508,0,0,0,0
42,1,-9916,-9656,11,260,169519,0,0,0,0
43,1,-10180,-9916,10,264,169529,0,0,0,0
44,1,-10428,-10180,10,248,169539,0,0,0,0
45,1,-10704,-10428,10,276,169549,0,0,0,0
46,1,-11008,-10704,11,304,169560,0,0,0,0
47,1,-11284,-11008,10,276,169570,0,0,0,0
48,1,-11532,-11284,10,248,169580,0,0,0,0
49,1,-11796,-11532,11,264,169591,0,0,0,0
50,1,-12056,-11796,10,260,169601,0,0,0,0
51,1,-12360,-12056,11,304,169612,0,0,0,0
52,1,-12636,-12360,10,276,169622,0,0,0,0
53,1,-12912,-12636,10,276,169632,0,0,0,0
54,1,-13176,-12912,11,264,169643,0,0,0,0
55,1,-13452,-13176,10,276,169653,0,0,0,0
56,1,-13700,-13452,10,248,169663,0,0,0,0
57,1,-13964,-13700,10,264,169673,0,0,0,0
58,1,-14240,-13964,10,276,169683,0,0,0,0
59,1,-14516,-14240,10,276,169693,0,0,0,0
60,1,-14776,-14516,10,260,169703,0,0,0,0
61,1,-15108,-14776,11,332,169714,0,0,0,0
62,1,-15428,-15108,10,320,169725,0,0,0,0
63,1,-15660,-15428,10,232,169735,0,0,0,0
64,1,-15964,-15660,11,304,169746,0,0,0,0
65,1,-16240,-15964,10,276,169756,0,0,0,0
66,1,-16516,-16240,10,276,169766,0,0,0,0
67,1,-16792,-16516,10,276,169776,0,0,0,0
68,1,-17124,-16792,11,332,169787,0,0,0,0
69,1,-17360,-17124,10,236,169797,0,0,0,0
70,1,-17636,-17360,10,276,169807,0,0,0,0
71,1,-17924,-17636,10,288,169817,0,0,0,0
72,1,-18188,-17924,10,264,169827,0,0,0,0
73,1,-18464,-18188,10,276,169837,0,0,0,0
74,1,-18756,-18464,10,292,169847,0,0,0,0
75,1,-19044,-18756,10,288,169857,0,0,0,0
76,1,-19320,-19044,10,276,169867,0,0,0,0
77,1,-19680,-19320,11,360,169878,0,0,0,0
78,1,-19956,-19680,10,276,169888,0,0,0,0
79,1,-20244,-19956,10,288,169898,0,0,0,0
80,1,-20520,-20244,10,276,169908,0,0,0,0
81,1,-20812,-20520,10,292,169918,0,0,0,0
82,1,-21088,-20812,10,276,169928,0,0,0,0
83,1,-21376,-21088,10,288,169938,0,0,0,0
84,1,-21668,-21376,10,292,169948,0,0,0,0
85,1,-21944,-21668,10,276,169958,0,0,0,0
86,1,-22248,-21944,10,304,169968,0,0,0,0
87,1,-22512,-22248,11,264,169979,0,0,0,0
88,1,-22800,-22512,10,288,169989,0,0,0,0
89,1,-23076,-22800,10,276,169999,0,0,0,0
90,1,-23420,-23076,11,344,170010,0,0,0,0
91,1,-23712,-23420,10,292,170020,0,0,0,0
92,1,-23988,-23712,10,276,170030,0,0,0,0
93,1,-24276,-23988,10,288,170040,0,0,0,0
94,1,-24568,-24276,10,292,170050,0,0,0,0
95,1,-24832,-24568,11,264,170061,0,0,0,0
96,1,-25108,-24832,10,276,170071,0,0,0,0
97,1,-25384,-25108,10,276,170081,0,0,0,1
98,1,-25712,-25384,10,328,170092,0,0,0,1
99,1,-25976,-25712,10,264,170102,0,0,0,1
100,1,-26224,-25976,10,248,170112,0,0,0,1
101,1,-26472,-26224,10,248,170122,0,0,0,1
102,1,-26708,-26472,10,236,170132,0,0,0,1
103,1,-26928,-26708,10,220,170142,0,0,0,1
104,1,-27148,-26928,10,220,170152,0,0,0,1
105,1,-27356,-27148,11,208,170163,0,0,0,1
106,1,-27564,-27356,10,208,170173,0,0,0,1
107,1,-27744,-27564,10,180,170183,0,0,0,1
108,1,-27964,-27744,12,220,170195,0,0,0,1
109,1,-28156,-27964,11,192,170206,0,0,0,1
110,1,-28336,-28156,11,180,170218,0,0,0,1
111,1,-28476,-28336,10,140,170228,0,0,0,1
112,1,-28612,-28476,10,136,170238,0,0,0,1
113,1,-28724,-28612,11,112,170249,0,0,0,1
114,1,-28836,-28724,10,112,170259,0,0,0,1
115,1,-28932,-28836,10,96,170269,0,0,0,1
116,1,-29028,-28932,10,96,170279,0,0,0,1
117,1,-29112,-29028,10,84,170289,0,0,0,1
118,1,-29164,-29112,10,52,170299,0,0,0,1
119,1,-29236,-29164,10,72,170309,0,0,0,1
120,1,-29276,-29236,10,40,170319,0,0,0,1
121,1,-29316,-29276,10,40,170329,0,0,0,1
122,1,-29344,-29316,11,28,170340,0,0,0,1
123,1,-29360,-29344,10,16,170350,0,0,0,1
124,1,-29372,-29360,11,12,170361,0,0,0,1
125,1,-29372,-29372,10,0,170371,0,0,0,1
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
