Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,2814,2826,0,12,246909,14,0,12,0
1,1,2770,2814,10,44,246935,0,0,0,0
2,1,2689,2770,10,81,246945,0,0,0,0
3,1,2537,2689,11,152,246956,0,0,0,0
4,1,2369,2537,11,168,246967,0,0,0,0
5,1,2189,2369,10,180,246977,0,0,0,0
6,1,1997,2189,10,192,246987,0,0,0,0
7,1,1777,1997,10,220,246997,0,0,0,0
8,1,1557,1777,10,220,247007,0,0,0,0
9,1,1305,1557,10,252,247017,0,0,0,0
10,1,1057,1305,10,248,247027,0,0,0,0
11,1,741,1057,11,316,247038,0,0,0,0
12,1,465,741,10,276,247048,0,0,0,0
13,1,217,465,11,248,247059,0,0,0,0
14,1,-56,217,11,273,247070,0,0,0,0
15,1,-376,-56,10,320,247080,0,0,0,0
16,1,-664,-376,10,288,247090,0,0,0,0
17,1,-928,-664,11,264,247101,0,0,0,0
18,1,-1232,-928,10,304,247111,0,0,0,0
19,1,-1592,-1232,11,360,247122,0,0,0,0
20,1,-1852,-1592,10,260,247132,0,0,0,0
21,1,-2144,-1852,11,292,247143,0,0,0,0
22,1,-2472,-2144,11,328,247154,0,0,0,0
23,1,-2776,-2472,11,304,247165,0,0,0,0
24,1,-3052,-2776,10,276,247175,0,0,0,0
25,1,-3356,-3052,10,304,247185,0,0,0,0
26,1,-3632,-3356,11,276,247196,0,0,0,0
27,1,-3980,-3632,10,348,247206,0,0,0,0
28,1,-4268,-3980,11,288,247217,0,0,0,0
29,1,-4544,-4268,10,276,247227,0,0,0,0
30,1,-4892,-4544,12,348,247239,0,0,0,0
31,1,-5180,-4892,10,288,247249,0,0,0,0
32,1,-5456,-5180,10,276,247259,0,0,0,0
33,1,-5760,-5456,10,304,247269,0,0,0,0
34,1,-6052,-5760,10,292,247279,0,0,0,0
35,1,-6328,-6052,10,276,247289,0,0,0,0
36,1,-6616,-6328,10,288,247299,0,0,0,0
37,1,-6892,-6616,10,276,247309,0,0,0,0
38,1,-7168,-6892,10,276,247319,0,0,0,0
39,1,-7516,-7168,11,348,247330,0,0,0,0
40,1,-7804,-7516,10,288,247340,0,0,0,0
41,1,-8080,-7804,10,276,247350,0,0,0,0
42,1,-8356,-8080,10,276,247360,0,0,0,0
43,1,-8592,-8356,10,236,247370,0,0,0,0
44,1,-8924,-8592,11,332,247381,0,0,0,0
45,1,-9228,-8924,10,304,247391,0,0,0,0
46,1,-9504,-9228,10,276,247401,0,0,0,0
47,1,-9792,-9504,10,288,247411,0,0,0,0
48,1,-10084,-9792,11,292,247422,0,0,0,0
49,1,-10412,-10084,11,328,247433,0,0,0,0
50,1,-10704,-10412,10,292,247443,0,0,0,0
51,1,-10980,-10704,10,276,247453,0,0,0,0
52,1,-11272,-10980,10,292,247463,0,0,0,0
53,1,-11560,-11272,10,288,247473,0,0,0,0
54,1,-11836,-11560,10,276,247483,0,0,0,0
55,1,-12140,-11836,10,304,247493,0,0,0,0
56,1,-12416,-12140,10,276,247503,0,0,0,0
57,1,-12720,-12416,10,304,247513,0,0,0,0
58,1,-13024,-12720,10,304,247523,0,0,0,0
59,1,-13300,-13024,11,276,247534,0,0,0,0
60,1,-13644,-13300,11,344,247545,0,0,0,0
61,1,-13936,-13644,11,292,247556,0,0,0,0
62,1,-14296,-13936,10,360,247566,0,0,0,0
63,1,-14596,-14296,11,300,247577,0,0,0,0
64,1,-14956,-14596,12,360,247590,0,0,0,0
65,1,-15288,-14956,10,332,247600,0,0,0,0
66,1,-15592,-15288,11,304,247611,0,0,0,0
67,1,-15896,-15592,10,304,247621,0,0,0,0
68,1,-16200,-15896,10,304,247631,0,0,0,0
69,1,-16572,-16200,11,372,247642,0,0,0,0
70,1,-16876,-16572,10,304,247652,0,0,0,0
71,1,-17168,-16876,10,292,247662,0,0,0,0
72,1,-17472,-17168,11,304,247673,0,0,0,0
73,1,-17772,-17472,10,300,247683,0,0,0,0
74,1,-18076,-17772,11,304,247694,0,0,0,0
75,1,-18452,-18076,10,376,247704,0,0,0,0
76,1,-18768,-18452,10,316,247714,0,0,0,0
77,1,-19072,-18768,11,304,247725,0,0,0,0
78,1,-19376,-19072,10,304,247735,0,0,0,0
79,1,-19708,-19376,10,332,247745,0,0,0,0
80,1,-19996,-19708,10,288,247755,0,0,0,0
81,1,-20316,-19996,10,320,247765,0,0,0,0
82,1,-20620,-20316,10,304,247775,0,0,0,0
