Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,-16,-4,0,12,191593,14,0,12,0
1,1,-44,-16,10,28,191619,0,0,0,0
2,1,-128,-44,10,84,191629,0,0,0,0
3,1,-264,-128,11,136,191640,0,0,0,0
4,1,-388,-264,11,124,191651,0,0,0,0
5,1,-556,-388,10,168,191661,0,0,0,0
6,1,-748,-556,10,192,191671,0,0,0,0
7,1,-940,-748,10,192,191681,0,0,0,0
8,1,-1164,-940,10,224,191691,0,0,0,0
9,1,-1384,-1164,10,220,191701,0,0,0,0
10,1,-1604,-1384,11,220,191712,0,0,0,0
11,1,-1880,-1604,11,276,191723,0,0,0,0
12,1,-2116,-1880,10,236,191733,0,0,0,0
13,1,-2364,-2116,10,248,191743,0,0,0,0
14,1,-2612,-2364,10,248,191753,0,0,0,0
15,1,-2860,-2612,10,248,191763,0,0,0,0
16,1,-3124,-2860,10,264,191773,0,0,0,0
17,1,-3384,-3124,10,260,191783,0,0,0,0
18,1,-3632,-3384,10,248,191793,0,0,0,0
19,1,-3884,-3632,11,252,191804,0,0,0,0
20,1,-4160,-3884,10,276,191814,0,0,0,0
21,1,-4488,-4160,11,328,191825,0,0,0,0
22,1,-4724,-4488,10,236,191835,0,0,0,0
23,1,-4988,-4724,10,264,191845,0,0,0,0
24,1,-5248,-4988,10,260,191855,0,0,0,0
25,1,-5512,-5248,11,264,191866,0,0,0,0
26,1,-5844,-5512,11,332,191877,0,0,0,0
27,1,-6104,-5844,10,260,191887,0,0,0,0
28,1,-6368,-6104,10,264,191897,0,0,0,0
29,1,-6644,-6368,10,276,191907,0,0,0,0
30,1,-6920,-6644,11,276,191918,0,0,0,0
31,1,-7212,-6920,10,292,191928,0,0,0,0
32,1,-7472,-7212,10,260,191938,0,0,0,0
33,1,-7736,-7472,11,264,191949,0,0,0,0
34,1,-7996,-7736,10,260,191959,0,0,0,0
35,1,-8260,-7996,10,264,191969,0,0,0,0
36,1,-8524,-8260,10,264,191979,0,0,0,0
37,1,-8852,-8524,11,328,191990,0,0,0,0
38,1,-9128,-8852,10,276,192000,0,0,0,0
39,1,-9380,-9128,11,252,192011,0,0,0,0
40,1,-9640,-9380,10,260,192021,0,0,0,0
41,1,-9904,-9640,10,264,192031,0,0,0,0
42,1,-10180,-9904,10,276,192041,0,0,0,0
43,1,-10440,-10180,10,260,192051,0,0,0,0
44,1,-10704,-10440,10,264,192061,0,0,0,0
45,1,-10992,-10704,10,288,192071,0,0,0,0
46,1,-11256,-10992,10,264,192081,0,0,0,0
47,1,-11520,-11256,11,264,192092,0,0,0,0
48,1,-11848,-11520,11,328,192103,0,0,0,0
49,1,-12112,-11848,11,264,192114,0,0,0,0
50,1,-12444,-12112,11,332,192125,0,0,0,0
51,1,-12720,-12444,11,276,192136,0,0,0,0
52,1,-13052,-12720,11,332,192147,0,0,0,0
53,1,-13328,-13052,10,276,192157,0,0,0,0
54,1,-13588,-13328,10,260,192167,0,0,0,0
55,1,-13908,-13588,10,320,192178,0,0,0,0
56,1,-14184,-13908,11,276,192189,0,0,0,0
57,1,-14472,-14184,10,288,192199,0,0,0,0
58,1,-14804,-14472,11,332,192210,0,0,0,0
59,1,-15080,-14804,10,276,192220,0,0,0,0
60,1,-15372,-15080,10,292,192230,0,0,0,0
61,1,-15632,-15372,11,260,192241,0,0,0,0
62,1,-15924,-15632,10,292,192251,0,0,0,0
63,1,-16200,-15924,10,276,192261,0,0,0,0
64,1,-16476,-16200,10,276,192271,0,0,0,0
65,1,-16764,-16476,10,288,192281,0,0,0,0
66,1,-17056,-16764,11,292,192292,0,0,0,0
67,1,-17344,-17056,10,288,192302,0,0,0,0
68,1,-17692,-17344,11,348,192313,0,0,0,0
69,1,-17968,-17692,10,276,192323,0,0,0,0
70,1,-18312,-17968,11,344,192334,0,0,0,0
71,1,-18588,-18312,10,276,192344,0,0,0,0
72,1,-18908,-18588,10,320,192354,0,0,0,0
73,1,-19184,-18908,11,276,192365,0,0,0,0
74,1,-19540,-19184,11,356,192376,0,0,0,0
75,1,-19844,-19540,11,304,192387,0,0,0,0
76,1,-20192,-19844,11,348,192398,0,0,0,0
77,1,-20480,-20192,10,288,192408,0,0,0,0
78,1,-20772,-20480,10,292,192418,0,0,0,0
79,1,-21004,-20772,10,232,192428,0,0,0,0
80,1,-21352,-21004,11,348,192439,0,0,0,0
81,1,-21640,-21352,10,288,192449,0,0,0,0
82,1,-21932,-21640,10,292,192459,0,0,0,0
83,1,-22248,-21932,10,316,192469,0,0,0,0
84,1,-22524,-22248,10,276,192479,0,0,0,0
85,1,-22816,-22524,10,292,192489,0,0,0,0
86,1,-23116,-22816,10,300,192499,0,0,0,0
87,1,-23392,-23116,10,276,192509,0,0,0,0
88,1,-23696,-23392,10,304,192519,0,0,0,0
89,1,-23972,-23696,10,276,192529,0,0,0,0
90,1,-24276,-23972,10,304,192539,0,0,0,0
91,1,-24568,-24276,10,292,192549,0,0,0,0
92,1,-24872,-24568,10,304,192559,0,0,0,0
93,1,-25132,-24872,10,260,192569,0,0,0,0
94,1,-25424,-25132,10,292,192579,0,0,0,0
95,1,-25700,-25424,11,276,192590,0,0,0,0
96,1,-26032,-25700,11,332,192601,0,0,0,0
97,1,-26320,-26032,11,288,192612,0,0,0,1
98,1,-26652,-26320,11,332,192623,0,0,0,1
99,1,-26916,-26652,10,264,192633,0,0,0,1
100,1,-27220,-26916,12,304,192645,0,0,0,1
101,1,-27468,-27220,10,248,192655,0,0,0,1
102,1,-27704,-27468,10,236,192665,0,0,0,1
103,1,-27924,-27704,10,220,192675,0,0,0,1
104,1,-28144,-27924,11,220,192686,0,0,0,1
105,1,-28380,-28144,10,236,192696,0,0,0,1
106,1,-28572,-28380,10,192,192706,0,0,0,1
107,1,-28752,-28572,10,180,192717,0,0,0,1
108,1,-28916,-28752,10,164,192727,0,0,0,1
109,1,-29096,-28916,11,180,192738,0,0,0,1
110,1,-29248,-29096,10,152,192748,0,0,0,1
111,1,-29372,-29248,10,124,192758,0,0,0,1
112,1,-29512,-29372,10,140,192768,0,0,0,1
113,1,-29636,-29512,12,124,192780,0,0,0,1
114,1,-29744,-29636,10,108,192790,0,0,0,1
115,1,-29828,-29744,10,84,192800,0,0,0,1
116,1,-29912,-29828,10,84,192810,0,0,0,1
117,1,-29980,-29912,11,68,192821,0,0,0,1
118,1,-30024,-29980,10,44,192831,0,0,0,1
119,1,-30076,-30024,10,52,192841,0,0,0,1
120,1,-30120,-30076,10,44,192851,0,0,0,1
121,1,-30148,-30120,10,28,192861,0,0,0,1
122,1,-30160,-30148,10,12,192871,0,0,0,1
123,1,-30160,-30160,10,0,192881,0,0,0,1
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
-1,99,0,0,0,0,0,0,0,0,0
