Reading,Direction,To,From,Duration,Disatance,TimeStamp,TimeToMove,TimedOut,Delta,FreeWheel
0,1,25850,25862,0,12,646340,8,0,12,0
1,1,25766,25850,10,84,646361,0,0,0,0
2,1,25642,25766,10,124,646371,0,0,0,0
3,1,25434,25642,11,208,646382,0,0,0,0
4,1,25158,25434,12,276,646394,0,0,0,0
5,1,24882,25158,10,276,646404,0,0,0,0
6,1,24578,24882,10,304,646414,0,0,0,0
7,1,24233,24578,11,345,646425,0,0,0,0
8,1,23833,24233,11,400,646436,0,0,0,0
9,1,23377,23833,11,456,646447,0,0,0,0
10,1,22989,23377,11,388,646458,0,0,0,0
11,1,22633,22989,11,356,646469,0,0,0,0
12,1,22133,22633,11,500,646480,0,0,0,0
13,1,21693,22133,10,440,646490,0,0,0,0
14,1,21305,21693,10,388,646500,0,0,0,0
15,1,20905,21305,10,400,646510,0,0,0,0
16,1,20465,20905,10,440,646520,0,0,0,0
17,1,20061,20465,10,404,646530,0,0,0,0
18,1,19621,20061,10,440,646540,0,0,0,0
19,1,19205,19621,10,416,646550,0,0,0,0
20,1,18764,19205,10,441,646560,0,0,0,0
21,1,18336,18764,10,428,646570,0,0,0,0
22,1,17824,18336,11,512,646581,0,0,0,0
23,1,17384,17824,11,440,646592,0,0,0,0
24,1,16928,17384,10,456,646602,0,0,0,0
25,1,16500,16928,10,428,646612,0,0,0,0
26,1,16072,16500,11,428,646623,0,0,0,0
27,1,15548,16072,10,524,646633,0,0,0,0
28,1,15036,15548,11,512,646645,0,0,0,0
29,1,14484,15036,11,552,646657,0,0,0,0
30,1,13960,14484,11,524,646669,0,0,0,0
31,1,13515,13960,10,445,646679,0,0,0,0
32,1,13075,13515,10,440,646689,0,0,0,0
33,1,12619,13075,10,456,646699,0,0,0,0
34,1,12163,12619,10,456,646709,0,0,0,0
35,1,11735,12163,10,428,646719,0,0,0,0
36,1,11279,11735,10,456,646729,0,0,0,0
37,1,10835,11279,10,444,646739,0,0,0,0
38,1,10367,10835,10,468,646749,0,0,0,0
39,1,9911,10367,10,456,646759,0,0,0,0
40,1,9455,9911,10,456,646769,0,0,0,0
41,1,9015,9455,10,440,646779,0,0,0,0
42,1,8559,9015,10,456,646789,0,0,0,0
43,1,8102,8559,10,457,646799,0,0,0,0
44,1,7630,8102,10,472,646809,0,0,0,0
45,1,7162,7630,10,468,646819,0,0,0,0
46,1,6678,7162,10,484,646829,0,0,0,0
47,1,6238,6678,10,440,646839,0,0,0,0
48,1,5794,6238,10,444,646849,0,0,0,0
49,1,5326,5794,10,468,646859,0,0,0,0
50,1,4858,5326,10,468,646869,0,0,0,0
51,1,4374,4858,11,484,646880,0,0,0,0
52,1,3930,4374,10,444,646890,0,0,0,0
53,1,3378,3930,11,552,646901,0,0,0,0
54,1,2910,3378,10,468,646911,0,0,0,0
55,1,2453,2910,11,457,646922,0,0,0,0
56,1,1873,2453,11,580,646933,0,0,0,0
57,1,1445,1873,10,428,646943,0,0,0,0
58,1,977,1445,11,468,646954,0,0,0,0
59,1,521,977,10,456,646964,0,0,0,0
60,1,65,521,10,456,646974,0,0,0,0
61,1,-388,65,10,453,646984,0,0,0,0
62,1,-860,-388,10,472,646994,0,0,0,0
63,1,-1340,-860,10,480,647004,0,0,0,0
64,1,-1784,-1340,10,444,647014,0,0,0,0
65,1,-2196,-1784,10,412,647024,0,0,0,0
66,1,-2652,-2196,10,456,647034,0,0,0,0
67,1,-3108,-2652,10,456,647044,0,0,0,0
68,1,-3580,-3108,10,472,647054,0,0,0,0
69,1,-4020,-3580,10,440,647064,0,0,0,0
70,1,-4464,-4020,10,444,647074,0,0,0,0
71,1,-4904,-4464,10,440,647084,0,0,0,0
72,1,-5348,-4904,10,444,647094,0,0,0,0
73,1,-5816,-5348,10,468,647104,0,0,0,0
74,1,-6228,-5816,10,412,647114,0,0,0,0
75,1,-6672,-6228,10,444,647124,0,0,0,0
76,1,-7112,-6672,10,440,647134,0,0,0,0
77,1,-7640,-7112,11,528,647145,0,0,0,0
78,1,-8096,-7640,10,456,647155,0,0,0,0
79,1,-8548,-8096,11,452,647166,0,0,0,0
80,1,-8976,-8548,10,428,647176,0,0,0,0
81,1,-9420,-8976,11,444,647187,0,0,0,0
82,1,-9860,-9420,10,440,647197,0,0,0,0
83,1,-10388,-9860,11,528,647208,0,0,0,0
84,1,-10940,-10388,11,552,647219,0,0,0,0
85,1,-11352,-10940,11,412,647230,0,0,0,0
86,1,-11796,-11352,10,444,647240,0,0,0,0
87,1,-12252,-11796,10,456,647250,0,0,0,0
88,1,-12804,-12252,11,552,647261,0,0,0,0
89,1,-13136,-12804,10,332,647271,0,0,0,0
90,1,-13688,-13136,10,552,647281,0,0,0,0
91,1,-14116,-13688,10,428,647291,0,0,0,0
92,1,-14572,-14116,11,456,647302,0,0,0,0
93,1,-15024,-14572,10,452,647312,0,0,0,0
94,1,-15456,-15024,10,432,647322,0,0,0,0
95,1,-16008,-15456,11,552,647333,0,0,0,0
96,1,-16488,-16008,10,480,647343,0,0,0,1
97,1,-16916,-16488,10,428,647353,0,0,0,1
98,1,-17332,-16916,10,416,647363,0,0,0,1
99,1,-17772,-17332,10,440,647373,0,0,0,1
100,1,-18216,-17772,10,444,647384,0,0,0,1
101,1,-18644,-18216,10,428,647394,0,0,0,1
102,1,-19084,-18644,10,440,647404,0,0,0,1
103,1,-19472,-19084,10,388,647414,0,0,0,1
104,1,-19872,-19472,10,400,647424,0,0,0,1
105,1,-20288,-19872,10,416,647434,0,0,0,1
106,1,-20672,-20288,11,384,647445,0,0,0,1
107,1,-21116,-20672,11,444,647456,0,0,0,1
108,1,-21504,-21116,10,388,647466,0,0,0,1
109,1,-21860,-21504,10,356,647476,0,0,0,1
110,1,-22248,-21860,10,388,647486,0,0,0,1
111,1,-22608,-22248,10,360,647496,0,0,0,1
112,1,-23008,-22608,11,400,647507,0,0,0,1
113,1,-23352,-23008,10,344,647517,0,0,0,1
114,1,-23684,-23352,11,332,647528,0,0,0,1
115,1,-24028,-23684,10,344,647538,0,0,0,1
116,1,-24348,-24028,10,320,647548,0,0,0,1
117,1,-24652,-24348,10,304,647558,0,0,0,1
118,1,-24956,-24652,10,304,647568,0,0,0,1
119,1,-25300,-24956,11,344,647579,0,0,0,1
120,1,-25604,-25300,10,304,647589,0,0,0,1
121,1,-25864,-25604,10,260,647599,0,0,0,1
122,1,-26140,-25864,10,276,647609,0,0,0,1
123,1,-26420,-26140,11,280,647620,0,0,0,1
124,1,-26668,-26420,10,248,647630,0,0,0,1
125,1,-26972,-26668,11,304,647641,0,0,0,1
126,1,-27204,-26972,10,232,647651,0,0,0,1
127,1,-27440,-27204,11,236,647662,0,0,0,1
128,1,-27676,-27440,10,236,647672,0,0,0,1
129,1,-27896,-27676,10,220,647682,0,0,0,1
130,1,-28104,-27896,10,208,647692,0,0,0,1
131,1,-28308,-28104,10,204,647702,0,0,0,1
132,1,-28488,-28308,10,180,647712,0,0,0,1
133,1,-28684,-28488,10,196,647722,0,0,0,1
134,1,-28848,-28684,10,164,647732,0,0,0,1
135,1,-29028,-28848,10,180,647742,0,0,0,1
136,1,-29192,-29028,10,164,647752,0,0,0,1
137,1,-29332,-29192,10,140,647762,0,0,0,1
138,1,-29484,-29332,10,152,647772,0,0,0,1
139,1,-29608,-29484,10,124,647782,0,0,0,1
140,1,-29732,-29608,10,124,647792,0,0,0,1
141,1,-29856,-29732,10,124,647802,0,0,0,1
142,1,-29968,-29856,10,112,647812,0,0,0,1
143,1,-30064,-29968,10,96,647822,0,0,0,1
